Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
AXnfncxmO/wywxUKu9ShlW7paac= 1 0 CfLkDySoPPB60919RE8FEy1ybt0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 28 23 19 WUkeA94B07iWFYpLN4IByfIPJSo= vrpDbH8rcKLL0EDvswiE6T61cj0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 10 7 WUkeA94B07iWFYpLN4IByfIPJSo=
AZTuEbq8OxF784mLAuSdOpciDmI= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 14 13 17 lvg2PIqXIyqTA6kyGWMSRDJAoC4= xTANaPh/ZWpTBzF+FtFB1hobLAowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 14 12 b3IOI9KKsJoKEIUjG689R0+5WNE=
AlaT3x64Y7F6/v+ojpv6mB+RW5I= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 14 19 Ef5FYbcfZAOF4YdA5GNrdQZ6RbM= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 3 14 15 CJqrdJp40rRMTLwMYJD0ndB2tIY=
AnGMH7kaTkDAuWFyu5XzGPU46HU= 1 16 oxEzCJ6qDIe5PcKstcjupq1zKUQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 17 1 8Rsb9GHl4m8C08aS4X1Bu50z0Bo= qaeI6TAEzrJhxkUMvy7USUXwniwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 16 1 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
AwfcgLsiPGwXTUk49pk+RWywQGU= 1 0 qS6E9rQ7eWr/ZvutAXB22isjgoYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 1 2 8o6W52VtmEql3FXLCilAM0lFjKM= 0GqNStWnpcmBfZ9gjiVyWF1db+4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 1 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
BA7/K6C513ArVUCpxFgh9ZZH2rY= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 26 40 38 jhmHEG9X5b8+t9YKWK29QNdGlUE= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 26 26 DFlF1eYsoIrAVuoGuFxn9zLFCWE=
BGbu4spE37UqU2EPysvimrfBVkI= 1 0 j/wVxn+ZE2gk0FBD6VOhaMFwUmkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 0 13 DuR7GlGTYuUx1fluIJrnUW9n1Yw= h8VAxpcZTxx6B4A9p1ifbYbqFxMwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 14 22 DuR7GlGTYuUx1fluIJrnUW9n1Yw=
BJDcgBvJNzmMs18rqmlS4T8SKww= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 0 1 yWsqTVptNqgSitTkYQAiwOynFxc= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 3 3 yWsqTVptNqgSitTkYQAiwOynFxc=
BYALnD91xSHAy7o96ZZvySBPnKw= 1 0 OWt96VXV4TotsaOzXesvPRyEgGgwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= 2STpBGWp/gYgNK4QFqJgX83PoE0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 1 1 +Ne9spSQhcKQS89nawvLnGKpaAE=
BhItJVjMhOFsxmuMcLyEsrsV/G0= 3 0 tipXqHcnfhbg+EBPGPSQDMjJDdUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 11 4 6 p1E/0qEnCm/ocE3J4+JF5uJJikQ= vJj2RXBDqkzMBkuOZfGQKmn3ZSAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 3 3 3 +lU01H3TSLYC6awBvDE/kj0IEfM=
