Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
AruG+wqHwB96TRZcFMgX6qFgj1c= 7 0 DgRsKuJHux5vTuwRNSw6OyedTvEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 7 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= Ttyas/ZT0l3nUP9UO5YFAmuoea0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 7 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
BrrCUMXZuwAbWi8wbXBTM+xZ+0M= 5 0 RRMKb44iQWZcRlkI0oKjwg/uVfswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 0 2 grV9NYzKUFRMkFO50sOTI0bW/A8= Vggih6NvP1nWyPhVQfT8v2HjSJ8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 17 2 f+Kf+m05TFDXNokUku/HAhyLNy4=
EfnHL3sANYfnWVK/oXwiun8wKww= 5 0 YOW16BqrwqNaE2fH0AIvI0BYG5MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 21 1 2 uk7TQo9PZkjynWWWTZveBW6nMGw= v9X5TukhJ+DLIzTWKBhtyHnGI2swMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
FQbdwLyjfyZAtAjGaWfIwt5Vb1g= 5 0 J10Rf+T4QhWliasawf+YGvAJYmUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= 8FTDlnQkqJiv7BFpZPR+eoCqpP0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 5 1 vHuSpYoLsuYvhgtYOsyRpLRsK8s=
G/FuxMl2U3P5PhvNYtQAPNrdmxM= 5 0 YOW16BqrwqNaE2fH0AIvI0BYG5MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= myACKK32YAwfg9qUye3YXgUCFTUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
HHsnAdxb22XHoMOsi0hxpgPOQyM= 6 0 bJJSflafwn8APMKrpwPa39CxzA4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= R/94e28KcekJhYFtMTCuiSDyVNcwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 6 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
ILTp9HpZ0gWH2PYM19ymIgx/r9M= 5 0 Rx/dqEISDSWjjX8q9FOEaj6n2qowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= PoKfkNbfsZHCY5vQl2NxrUyerhUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
I8RGUSNnKofCOHygObhruigysXw= 5 0 4cFefV53+0rvkQpguDvgXLwAua4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 5 1 zMOg4zC+G8Ze9ojxFTY+RZoNBTQ= 2TuxivKNL9dboeoT3xGLBKDc9SUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 25 4 RlU6MIYvZZ6LIVvbRA5kP7IFMSw=
JVNH2uyxkiNt/nghi8gs9mQ/eq4= 5 0 jXlhMuk5rtow77cpU80eJAbrzR0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 6 25 5 grV9NYzKUFRMkFO50sOTI0bW/A8= c7NF2vcjc6hfaUrWUUHPvkh3E/gwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
JwUXBW0Z0PWPjBD5JBxksz8/xUs= 5 0 WaITOsrOjmTlmrnVEHLyHDLPfnIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 10 0 1 8KDz9V2q5lmIOkWhz/zCti5dops= ghTQM2LWToQ3O7iuni52GkPFyjgwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 5 1 f+Kf+m05TFDXNokUku/HAhyLNy4=
LDyLYPm9T01ynN30zJr1l4Fy2e4= 6 0 oZESrIqak/6N87bYQPeuQZYnstowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 20 4 3+ZnIbHObXjifNp0Vu4h25IVAcA= 5yLYjoanTmVwfvq7qZUa9UP6bogwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 6 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LGrX43WJbKCAC+C9h1IMo4ZKlYE= 7 0 ryZy1Bg5Va5cd6W8ofrl9V5SGH8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 5 3 mHkR/MLEUxbqASNKOjIRE+QiF1A= Vggih6NvP1nWyPhVQfT8v2HjSJ8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 7 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LLCys3+E7ChAzdwOwepFUspwXJ8= 5 0 8xD21gRFfkKNnNv5KkhfXGfcpBUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 5 3 kOq4CFi+5BtajGeMNg5qJ64sbug= nzl4/aHX/jF9Rgo4ZDlFW4+2kdwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LnYQTzK+udK4b3Utpzp2RFVi4VM= 5 1 oZESrIqak/6N87bYQPeuQZYnstowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 1 2 oLvAUePt9WH85ReVulohzrctbvE= jXlhMuk5rtow77cpU80eJAbrzR0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 20 3 oLvAUePt9WH85ReVulohzrctbvE=
